id,created_at,lang,text,at_who
1307644734853255168,2020-09-20 11:36:14,en, Impossible for commuters to distance on overcrowded buses as COVID cases rise CBC News,[]
1307644732013764610,2020-09-20 11:36:13,en, WinterOfDiscontent and a British BastilleDay Unless the government concedes it fucked up repeals all coronavirus measures apologises and probably steps down Our country is more important than their attempted reputationsalvaging cowardice ,['@Vicster82']
1307644729610379265,2020-09-20 11:36:13,en,Would ACTRA leave it up to the production to weigh the risks of endangering ACTRA members and decide how much time a tv show would be shut down maybe days What would ACTRA do for someone who contracted COVID on a show with no COVID insurance ,"['@CinespaceTO', '@iatse873', '@ACTRAToronto', '@NABET700MUNIFOR', '@IATSE667', '@fordnation', '@MacLeodLisa']"
1307644729111109633,2020-09-20 11:36:12,en,Sir If u look the lettter u easily understand that what RIMC wants Sir I am on duty and not in a position to go home for this purpose due to COVID Pandemic Pl take suitable action so that it can be signed With Regards Narayan Singh ,['@tsrawatbjp']
1307644728838676480,2020-09-20 11:36:12,en,If you wanna see me Cracked as Fu k in Cold War amp Some Coronavirus then click the link FaZe FaZeFaithful coldwar callofduty gaming corona youtube YouTuber,[]
1307644728612012032,2020-09-20 11:36:12,en,Opinion Syrian refugees are returning home because they have no choice,[]
1307644726623993858,2020-09-20 11:36:12,en,Moderna shares Covid vaccine trial blueprints Pfizer follows wallst,[]
1307644726255013889,2020-09-20 11:36:12,en,Hello Please if you need a Book Writer Fiction and NonFiction I am very available You can reach out to me via these links COVID Emmys BidenHarris twitch Europe coronavirus Jesus Fiverr China Russia,['@cryptobomb']
1307644723138420738,2020-09-20 11:36:11,en,have you even looked at the unemployment rate or the deficit My god trump literally killed the US economy His tax law failed his sanctions failed his farm bailout failed and the failed Covid response is exponentially making it all worse FAIL,['@TrumpWarRoom']
1307644722886766593,2020-09-20 11:36:11,en,the fact that i will never get to experience ntmy tour and get to see niall onstage and covid had to ruin my dream,[]
